anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2,Homicidios dolosos en grado de tentativa,2,2.0
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,Muertes en Accidentes Viales,6,8.0
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Violaciones,44,44.0
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),426,
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",19,Hurtos,739,
2020,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",31,Suicidios (consumados),9,9.0
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1,Homicidios dolosos,3,3.0
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2,Homicidios dolosos en grado de tentativa,3,3.0
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,Muertes en Accidentes Viales,7,9.0
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Violaciones,54,54.0
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),435,
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",19,Hurtos,900,
2021,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",31,Suicidios (consumados),21,21.0
